game_id,opponent,target_win,target_ncat_pts,pregame_rolling_pts,pregame_rolling_reb,pregame_rolling_to,pregame_rolling_paint,pregame_win_streak
game_4,vs Morgan State University on 11/18/2025North Carolina A&T,1,79,82.0,39.333333333333336,14.666666666666666,42.666666666666664,2.0
game_5,vs Davidson College on 11/28/2025North Carolina A&T,0,74,84.33333333333333,42.333333333333336,15.333333333333334,41.333333333333336,3.0
game_6,vs Charlotte on 12/2/2025North Carolina A&T,0,57,80.66666666666667,37.0,12.666666666666666,35.333333333333336,2.0
game_7,vs North Carolina Central University on 12/6/2025North Carolina A&T,1,69,70.0,31.333333333333332,12.666666666666666,25.333333333333332,1.0
game_8,vs Howard University on 12/9/2025North Carolina A&T,0,69,66.66666666666667,34.333333333333336,15.0,24.0,1.0
game_9,vs University of Maryland Eastern Shore on 12/12/2025North Carolina A&T,1,82,65.0,38.333333333333336,16.333333333333332,26.666666666666668,1.0
game_10,vs UNC Greensboro on 12/16/2025North Carolina A&T,1,71,73.33333333333333,42.666666666666664,16.333333333333332,28.666666666666668,2.0
game_11,vs Mid-Atlantic Christian University on 12/20/2025North Carolina A&T,1,95,74.0,42.333333333333336,12.666666666666666,28.0,2.0
game_12,vs University of North Carolina Wilmington on 12/29/2025North Carolina A&T,0,78,82.66666666666667,45.333333333333336,11.333333333333334,30.0,3.0
game_13,vs Northeastern University on 12/31/2025North Carolina A&T,0,74,81.33333333333333,42.666666666666664,9.666666666666666,30.0,2.0
game_14,vs Stony Brook University on 1/3/2026North Carolina A&T,0,80,82.33333333333333,38.333333333333336,10.0,30.666666666666668,1.0
game_15,vs Elon University on 1/8/2026North Carolina A&T,0,64,77.33333333333333,37.666666666666664,10.0,28.0,0.0
game_16,vs William & Mary on 1/15/2026North Carolina A&T,0,89,72.66666666666667,42.666666666666664,11.666666666666666,27.333333333333332,0.0
game_17,vs Hampton University on 1/19/2026North Carolina A&T,0,61,77.66666666666667,41.0,14.0,30.0,0.0
game_18,vs Hofstra University on 1/22/2026North Carolina A&T,1,79,71.33333333333333,36.333333333333336,13.666666666666666,30.0,0.0
game_19,vs Towson University on 1/24/2026North Carolina A&T,1,80,76.33333333333333,36.333333333333336,12.333333333333334,28.666666666666668,1.0
game_20,vs Monmouth University on 1/29/2026North Carolina A&T,0,81,73.33333333333333,38.0,11.333333333333334,28.0,2.0
game_21,vs Drexel University on 1/31/2026North Carolina A&T,0,60,80.0,39.666666666666664,13.333333333333334,31.333333333333332,2.0
game_22,vs College of Charleston on 2/5/2026North Carolina A&T,0,62,73.66666666666667,35.0,13.666666666666666,33.333333333333336,1.0
game_23,vs Campbell University on 2/7/2026North Carolina A&T,0,71,67.66666666666667,35.0,14.666666666666666,28.0,0.0
game_24,vs Hampton University on 2/13/2026North Carolina A&T,1,71,64.33333333333333,33.333333333333336,12.333333333333334,27.333333333333332,0.0
game_25,vs College of Charleston on 2/19/2026North Carolina A&T,0,61,68.0,32.333333333333336,11.333333333333334,28.0,1.0
game_26,vs Elon University on 2/21/2026North Carolina A&T,1,102,67.66666666666667,32.333333333333336,9.333333333333334,30.0,1.0
game_27,vs University of North Carolina Wilmington on 2/26/2026North Carolina A&T,0,65,78.0,33.0,10.0,32.0,2.0
game_28,vs William & Mary on 2/28/2026North Carolina A&T,0,88,76.0,33.333333333333336,10.666666666666666,32.0,1.0
game_29,vs Campbell University on 3/3/2026North Carolina A&T,0,72,85.0,33.333333333333336,12.666666666666666,38.0,1.0
game_30,vs Northeastern University on 3/6/2026North Carolina A&T,0,72,75.0,31.666666666666668,13.666666666666666,35.333333333333336,0.0
